lat,lon,depth,cluster
35.158855,139.6,15.798,43
35.158855,139.60002,14.908,43
35.158855,139.60013,16.048,44
35.158855,139.60034,19.794,47
35.15886,139.59987,18.972,13
35.15886,139.59988,15.767,43
35.15886,139.59995,15.34,43
35.15886,139.6,16.61,43
35.15886,139.60011,14.32,44
35.15886,139.60013,16.537,44
35.158863,139.59981,20.7725,13
35.158863,139.59996,15.132,43
35.158863,139.60023,18.743,44
35.158867,139.5998,19.22175,13
35.158867,139.59985,14.528,13
35.158867,139.59991,17.172,43
35.158867,139.59996,15.902,43
35.158867,139.60011,14.809,44
35.158867,139.60022,17.015,44
35.158867,139.60023,18.389,44
35.158867,139.60046,22.292,48
35.15887,139.59976,19.732,13
35.15887,139.5998,19.7315,13
35.15887,139.59981,19.867,13
